SITE,SITE_ID,SURVEY_OPS,VYG_OPN_NO,GEAR,DEPLOYED_TIME,ON_BOTTOM_TIME,Gear_Long_S,Gear_Lat_S,Gear_Long_E,Gear_Lat_E,BottomDepth_start,BottomDepth_end,Planning_Design,Habitat Hyp NOTE,location Match to planned,PLAN_cluster_original,PLAN_point_original,PLAN_x,PLAN_y,PLAN_TOD,Annotation
N1,N1.2,IN2023_V05_009,9,CTD,30/06/2023 20:40,,148.793179,-40.326022,,,95,,Station,,good,8,2,148.7796096,-40.34608892,day,
N1,N1.2,IN2023_V05_010,10,McKenna Trawl,30/06/2023 21:43,30/06/2023 22:15,148.777346,-40.350858,148.769774,-40.36143,65.18,67.89,Station,,good,8,2,148.7796096,-40.34608892,day,
N1,N1.1,IN2023_V05_011,11,CTD,1/07/2023 1:27,,148.778936,-40.307802,,,96,,Station,,good,8,3,148.7688437,-40.32878649,day,
N1,N1.1,IN2023_V05_012,12,McKenna Trawl,1/07/2023 2:37,1/07/2023 3:06,148.768471,-40.323211,148.758457,-40.337037,83.97,61.83,Station,,good,8,3,148.7688437,-40.32878649,day,
N1,N1.1,IN2023_V05_013,13,Multinet,1/07/2023 4:59,,148.790569,-40.303973,,,98,,Station,,good,8,3,148.7688437,-40.32878649,day,
N2,N2.1,IN2023_V05_014,14,CTD,1/07/2023 9:58,1/07/2023 10:05,148.727716,-40.085025,,,104,,Cluster,,good,20,1,148.7081219,-40.12174135,night,
N2,N2.1,IN2023_V05_015,15,Deep Towed Camera,1/07/2023 10:47,1/07/2023 10:54,148.717125,-40.098458,148.714392,-40.103392,90.44,83.14,Cluster,design,good,20,1,148.7081219,-40.12174135,night,
N2,N2.2,IN2023_V05_016,16,Deep Towed Camera,,1/07/2023 11:09,148.714082,-40.106261,148.707194,-40.119421,88.14,76.08,Cluster,design,good,20,1,148.7081219,-40.12174135,night,
N2,N2.3,IN2023_V05_017,17,Deep Towed Camera,,1/07/2023 11:47,148.70624,-40.12583,148.700481,-40.139411,69.63,77.47,Cluster,design,good,20,1,148.7081219,-40.12174135,night,
N2,N2.1,IN2023_V05_018,18,Multinet,1/07/2023 14:25,,148.703303,-40.089782,,,85,,Cluster,,good,20,1,148.7081219,-40.12174135,night,
N3,N3.2,IN2023_V05_019,19,CTD,1/07/2023 19:40,1/07/2023 19:48,148.757878,-40.095823,,,110,,Station,,good,6,2,148.7621773,-40.07185903,day,
N3,N3.2,IN2023_V05_020,20,McKenna Trawl,1/07/2023 20:32,1/07/2023 20:57,148.752493,-40.096587,148.742878,-40.114827,105.7,121.5,Station,,good,6,2,148.7621773,-40.07185903,day,
N3,N3.3,IN2023_V05_021,21,CTD,1/07/2023 23:32,1/07/2023 23:44,148.708424,-40.071836,,,86,,Station,,good,6,1,148.7230417,-40.04749295,day,
N3,N3.3,IN2023_V05_022,22,McKenna Trawl,2/07/2023 0:55,2/07/2023 1:23,148.719825,-40.053854,148.709662,-40.074068,109.4,88.09,Station,,good,6,1,148.7230417,-40.04749295,day,
N3,N3.3,IN2023_V05_023,23,Multinet,2/07/2023 3:06,,148.712713,-40.06472,,,98,,Station,,good,6,1,148.7230417,-40.04749295,day,
N3,N3.1,IN2023_V05_024,24,McKenna Trawl,2/07/2023 4:55,2/07/2023 5:19,148.714092,-40.044098,148.701028,-40.071174,109.5,72.36,Station,,good,6,3,148.705389,-40.06023169,day,
N5,N5.2,IN2023_V05_027,27,Deep Towed Camera,2/07/2023 13:26,2/07/2023 13:33,148.731114,-39.524651,148.719814,-39.52557,119.4,113.7,Station,design,off mark,16,3,148.6311815,-39.52973374,day,
N5,N5.2,IN2023_V05_028,28,Deep Towed Camera,,2/07/2023 14:03,148.713598,-39.524574,148.700439,-39.52557,108.7,101.2,Station,design,off mark,16,3,148.6311815,-39.52973374,day,
N5,N5.2,IN2023_V05_029,29,Deep Towed Camera,,2/07/2023 14:40,148.696631,-39.525724,148.685611,-39.528157,98.56,105.7,Station,design,off mark,16,3,148.6311815,-39.52973374,day,
N5,N5.2,IN2023_V05_030,30,CTD,2/07/2023 20:09,2/07/2023 20:17,148.658996,-39.506575,,,92,,Station,,off mark,16,3,148.6311815,-39.52973374,day,
N5,N5.2,IN2023_V05_031,31,McKenna Trawl,2/07/2023 20:52,2/07/2023 21:19,148.676298,-39.535029,148.687995,-39.556725,124.6,111.6,Station,,off mark,16,3,148.6311815,-39.52973374,day,
N5,N5.3,IN2023_V05_032,32,McKenna Trawl,3/07/2023 0:30,3/07/2023 0:58,148.572064,-39.47151,148.58301,-39.49417,66.24,51.54,Station,,Actual is good for  5.1,16,2,148.5559196,-39.46837189,day,
N5,N5.3,IN2023_V05_033,33,CTD,3/07/2023 3:23,,148.549888,-39.46674,,,52,,Station,,Actual is good for  5.1,16,2,148.5559196,-39.46837189,day,
N5,N5.3,IN2023_V05_034,34,Multinet,3/07/2023 4:08,,148.548449,-39.46562,,,51,,Station,,Actual is good for  5.1,16,2,148.5559196,-39.46837189,day,
N5,N5.1,IN2023_V05_035,35,McKenna Trawl,3/07/2023 5:34,3/07/2023 5:58,148.553257,-39.471432,148.559061,-39.483956,45.37,42.17,Station,,Actual is good for  5.3,16,1,148.5664355,-39.48320525,day,
N6,N6.1,IN2023_V05_036,36,CTD,3/07/2023 10:32,,148.661285,-39.347603,,,223,,Cluster,,good,24,1,148.6675531,-39.33870206,night,
N6,N6.1,IN2023_V05_037,37,Deep Towed Camera,3/07/2023 11:40,3/07/2023 11:55,148.660106,-39.363438,148.655023,-39.356795,121,181.8,Cluster,design,good,24,1,148.6675531,-39.33870206,night,
N6,N6.2,IN2023_V05_038,38,Deep Towed Camera,,3/07/2023 12:34,148.653886,-39.352401,148.653351,-39.343027,224.5,427.5,Cluster,design,good,24,1,148.6675531,-39.33870206,night,
N6,N6.3,IN2023_V05_039,39,Deep Towed Camera,,3/07/2023 13:27,148.655968,-39.335955,148.656474,-39.329565,425,485.4,Cluster,design,good,24,1,148.6675531,-39.33870206,night,
N6,N6,IN2023_V05_040,40,Multinet,3/07/2023 15:18,,148.66561,-39.339851,,,229,,Cluster,,good,24,1,148.6675531,-39.33870206,night,
N7,N7.1,IN2023_V05_041,41,CTD,3/07/2023 19:11,3/07/2023 19:22,148.59172,-39.344213,,,93,,Station,,good,24,2,148.6113506,-39.33284475,day,
N7,N7.1,IN2023_V05_042,42,McKenna Trawl,3/07/2023 20:31,3/07/2023 21:03,148.599113,-39.342528,148.619395,-39.328879,116.6,121.3,Station,,good,24,2,148.6113506,-39.33284475,day,
N7,N7.2,IN2023_V05_043,43,McKenna Trawl,3/07/2023 23:30,4/07/2023 0:08,148.65133,-39.29805,148.66213,-39.290669,314.7,388.5,Station,,good,8,3,148.6511694,-39.29734531,day,
N7,N7.2,IN2023_V05_044,44,CTD,4/07/2023 2:56,4/07/2023 2:56,148.6528,-39.292398,,,318,,Station,,good,8,3,148.6511694,-39.29734531,day,
N7,N7.2,IN2023_V05_045,45,Multinet,4/07/2023 4:04,,148.655754,-39.294956,,,341,,Station,,good,8,3,148.6511694,-39.29734531,day,
N7,N7.3,IN2023_V05_046,46,McKenna Trawl,4/07/2023 6:09,4/07/2023 6:34,148.624692,-39.31761,148.647769,-39.302316,141,127.7,Station,,good,8,1,148.6060993,-39.32542991,day,
N8,N8.1,IN2023_V05_047,47,CTD,4/07/2023 10:56,,148.543892,-39.173424,,,101,,Cluster,,good,10,2,148.5451432,-39.17217119,night,
N8,N8.1,IN2023_V05_048,48,Deep Towed Camera,4/07/2023 12:09,4/07/2023 12:20,148.535752,-39.174662,148.541922,-39.166646,92.18,98.41,Cluster,design,good,10,2,148.5451432,-39.17217119,night,
N8,N8.2,IN2023_V05_049,49,Deep Towed Camera,,4/07/2023 13:03,148.547566,-39.163799,148.558064,-39.159983,97.93,102.3,Cluster,design,good,10,2,148.5451432,-39.17217119,night,
N8,N8.3,IN2023_V05_050,50,Deep Towed Camera,,4/07/2023 13:36,148.563057,-39.159501,148.578601,-39.161865,107.3,106.7,Cluster,design,good,10,2,148.5451432,-39.17217119,night,
N8,N8.1,IN2023_V05_051,51,Multinet,4/07/2023 15:11,,148.547609,-39.173935,,,101,,Cluster,,good,10,2,148.5451432,-39.17217119,night,
N9,N9.2,IN2023_V05_052,52,CTD,4/07/2023 19:32,4/07/2023 19:47,148.654538,-39.054276,,,491,,Station,,good,9,3,148.6429869,-39.05536261,day,
N9,N9.1,IN2023_V05_053,53,McKenna Trawl,4/07/2023 21:00,4/07/2023 21:33,148.650899,-39.108258,148.647217,-39.084286,397.4,456,Station,,ok,9,1,148.6394861,-39.12280108,day,
N9,N9.3,IN2023_V05_054,54,McKenna Trawl,5/07/2023 0:00,5/07/2023 0:30,148.5885,-39.044339,148.608308,-39.03343,439.2,420.4,Station,,good,9,2,148.5944664,-39.03606882,day,
N9,N9.1,IN2023_V05_055,55,CTD,5/07/2023 2:46,5/07/2023 2:46,148.646542,-39.056085,,,457,,Station,,ok,9,1,148.6394861,-39.12280108,day,
N9,N9.1,IN2023_V05_056,56,Multinet,5/07/2023 3:59,,148.646097,-39.059106,,,448,,Station,,ok,9,1,148.6394861,-39.12280108,day,
N9,N9.2,IN2023_V05_057,57,McKenna Trawl,5/07/2023 5:50,5/07/2023 6:30,148.663217,-39.077931,148.656378,-39.054138,499.5,497,Station,,good,9,3,148.6429869,-39.05536261,day,
N10,N10.1,IN2023_V05_058,58,CTD,5/07/2023 11:30,,148.516765,-38.961691,,,221,,Cluster,,good,12,2,148.5153926,-38.9585786,night,
N10,N10.1,IN2023_V05_059,59,Deep Towed Camera,5/07/2023 12:21,5/07/2023 12:27,148.516463,-38.965293,148.513965,-38.957452,178.4,201,Cluster,design,good,12,2,148.5153926,-38.9585786,night,
N10,N10.2,IN2023_V05_060,60,Deep Towed Camera,,5/07/2023 12:56,148.511652,-38.953983,148.511161,-38.94522,216.1,260.7,Cluster,design,good,12,2,148.5153926,-38.9585786,night,
N10,N10.3,IN2023_V05_061,61,Deep Towed Camera,,5/07/2023 13:35,148.509364,-38.939545,148.515601,-38.930055,256.4,305.7,Cluster,design,good,12,2,148.5153926,-38.9585786,night,
N10,N10.3,IN2023_V05_062,62,Multinet,5/07/2023 14:55,,148.511705,-38.923891,,,351,,Cluster,,good,12,2,148.5153926,-38.9585786,night,
N11,N11.2,IN2023_V05_063,63,CTD,5/07/2023 19:24,5/07/2023 19:30,148.325043,-38.956762,,,80,,Station,,good,SS199305_079,1923,148.32167,-38.93167,day,
N11,N11.1,IN2023_V05_064,64,McKenna Trawl,5/07/2023 20:37,5/07/2023 21:01,148.340422,-38.949001,148.323703,-38.923594,98.34,76.43,Station,,good,SS199602_031,2261,148.345,-38.95,day,
N11,N11.3,IN2023_V05_065,65,McKenna Trawl,5/07/2023 23:08,5/07/2023 23:30,148.32096,-38.957995,148.306729,-38.936526,89.22,75.86,Station,,good,SS199606_239,2521,148.3,-38.915,day,
N11,N11.3,IN2023_V05_066,66,CTD,6/07/2023 1:10,6/07/2023 1:17,148.312121,-38.934941,,,83,,Station,,good,SS199606_239,2521,148.3,-38.915,day,
N11,N11.3,IN2023_V05_067,67,Multinet,6/07/2023 2:34,,148.304568,-38.93598,,,82,,Station,,good,SS199606_239,2521,148.3,-38.915,day,
N11,N11.2,IN2023_V05_068,68,McKenna Trawl,6/07/2023 4:01,6/07/2023 4:28,148.328346,-38.951603,148.313087,-38.929194,90.9,71.84,Station,,good,SS199305_079,1923,148.32167,-38.93167,day,
N14,N14.1,IN2023_V05_069,69,Deep Towed Camera,6/07/2023 11:04,6/07/2023 11:13,148.44514,-38.677729,148.443074,-38.686538,276.4,315.9,Cluster,design,good,3,2,148.4631971,-38.68134967,night,
N14,N14.2,IN2023_V05_070,70,Deep Towed Camera,,6/07/2023 11:51,148.443109,-38.691248,148.444967,-38.700009,316.9,372.3,Cluster,design,good,3,2,148.4631971,-38.68134967,night,
N14,N14.3,IN2023_V05_071,71,Deep Towed Camera,,6/07/2023 12:29,148.446182,-38.704652,148.449859,-38.713806,380.2,477.8,Cluster,design,good,3,2,148.4631971,-38.68134967,night,
N14,N14.3,IN2023_V05_072,72,CTD,6/07/2023 13:56,,148.448346,-38.712569,,,,,Cluster,,good,3,2,148.4631971,-38.68134967,night,
N14,N14.3,IN2023_V05_073,73,Multinet,6/07/2023 15:03,,148.439658,-38.712503,,,451,,Cluster,,good,3,2,148.4631971,-38.68134967,night,
N21,N21.3,IN2023_V05_197,197,CTD,22/07/2023 19:53,22/07/2023 20:04,149.153787,-38.216719,,,164,,Station,,good,17,1,149.1470958,-38.22851,day,
N21,N21.3,IN2023_V05_198,198,McKenna Trawl,22/07/2023 20:39,22/07/2023 21:05,149.154564,-38.216301,149.123259,-38.227683,180.8,169.7,Station,,good,17,1,149.1470958,-38.22851,day,
N21,N21.1,IN2023_V05_199,199,McKenna Trawl,23/07/2023 0:06,23/07/2023 0:47,149.033157,-38.295526,149.001344,-38.307952,460.5,440.4,Station,,off mark,17,3,149.1037422,-38.28670492,day,
N21,N21.1,IN2023_V05_200,200,CTD,23/07/2023 2:42,,148.939132,-38.326358,,,465,,Station,,off mark,17,3,149.1037422,-38.28670492,day,
N22,N22.1,IN2023_V05_194,194,Deep Towed Camera,22/07/2023 14:36,22/07/2023 14:44,149.29789,-38.17862,149.28473,-38.19233,203,239.6,Station,design_legacy,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N22,N22.1,IN2023_V05_195,195,Multinet,22/07/2023 16:21,,149.273747,-38.19997,,,244,,Station,,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N22,N22.1,IN2023_V05_196,196,CTD,22/07/2023 17:15,22/07/2023 17:25,149.259964,-38.209435,,,241,,Station,,off mark (video overlapping old trawl SS199405_082),1,1,149.2016358,-38.29489198,night,
N23,N23.2,IN2023_V05_186,186,CTD,21/07/2023 20:01,21/07/2023 20:10,149.295507,-38.206941,,,267,,Station,,good,SS199305_178,1996,149.293335,-38.20667,day,
N23,N23.2,IN2023_V05_187,187,McKenna Trawl,21/07/2023 20:55,21/07/2023 21:30,149.304733,-38.204931,149.277961,-38.219915,300.9,295.5,Station,,good,SS199305_178,1996,149.293335,-38.20667,day,
N23,N23.1,IN2023_V05_188,188,McKenna Trawl,22/07/2023 0:15,22/07/2023 0:55,149.326626,-38.211941,149.309334,-38.228014,345.1,343.9,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.1,IN2023_V05_189,189,CTD,22/07/2023 2:46,22/07/2023 2:59,149.273028,-38.274606,,,441,,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.1,IN2023_V05_190,190,Multinet,22/07/2023 3:42,,149.270577,-38.274661,,,429,,Station,,off mark,SS199305_174,1997,149.275,-38.19833,day,
N23,N23.3,IN2023_V05_191,191,McKenna Trawl,22/07/2023 6:21,22/07/2023 6:45,149.332491,-38.105528,149.305499,-38.12651,170.2,136.9,Station,,good,"SS199606_208, SS199606_221",2501,149.340835,-38.107505,day,
N25,N25.3,IN2023_V05_178,178,McKenna Trawl,19/07/2023 4:20,19/07/2023 4:45,149.365836,-37.882569,149.335802,-37.890866,126.6,81.52,Station,,good,7,1,149.3809246,-37.87954571,day,
N25,N25.1,IN2023_V05_179,179,Multinet,19/07/2023 6:10,,149.304198,-37.896248,,,116,,Station,,good,7,3,149.2895541,-37.90382424,day,
N25,N25.1,IN2023_V05_180,180,CTD,19/07/2023 7:02,,149.29269,-37.902277,,,116,,Station,,good,7,3,149.2895541,-37.90382424,day,
N26,N26.1,IN2023_V05_192,192,Deep Towed Camera,22/07/2023 9:04,22/07/2023 9:10,149.471471,-38.106225,149.441859,-38.125081,158.4,453.1,Station,design_legacy,good,SS200404_093,6097,149.45331,-38.108445,night,
N26,N26.2,IN2023_V05_193,193,Deep Towed Camera,22/07/2023 11:44,22/07/2023 11:50,149.515809,-38.128975,149.486136,-38.147898,157.7,446.9,Station,design_legacy,good,SS200404_092,4980,149.492855,-38.13553,night,
N27,N27.1,IN2023_V05_173,173,CTD,17/07/2023 20:07,17/07/2023 20:16,149.637314,-38.13588,,,163,,Station,,ok,SS199606_234,2004,149.60017,-38.165,day,
N27,N27.1,IN2023_V05_174,174,McKenna Trawl,17/07/2023 20:54,17/07/2023 21:20,149.594855,-38.129719,149.562936,-38.124298,175.8,175.1,Station,,ok,SS199606_234,2004,149.60017,-38.165,day,
N27,N27.2,IN2023_V05_175,175,McKenna Trawl,17/07/2023 23:51,18/07/2023 0:15,149.597671,-38.113288,149.579232,-38.111718,168.2,168.4,Station,,ok -- LEGACY SS199606_235,23,3,149.5622178,-38.15278887,day,
N27,N27.3,IN2023_V05_176,176,CTD,18/07/2023 3:26,18/07/2023 3:35,149.677256,-38.175863,,,283,,Station,,ok,SS199305_202,2003,149.62217,-38.16917,day,
N27,N27.3,IN2023_V05_177,177,Multinet,18/07/2023 4:03,,149.674997,-38.174902,,,280,,Station,,ok,SS199305_202,2003,149.62217,-38.16917,day,
N28,N28.1,IN2023_V05_168,168,CTD,17/07/2023 9:50,,149.537168,-38.183369,,,476,,Cluster,,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,
N28,N28.1,IN2023_V05_169,169,Multinet,17/07/2023 10:45,,149.53889,-38.18391,,,480,,Cluster,,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,
N28,N28.1,IN2023_V05_170,170,Deep Towed Camera,17/07/2023 13:23,17/07/2023 13:36,149.573681,-38.191036,149.537052,-38.184762,356.2,480.8,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N28,N28.2,IN2023_V05_171,171,Deep Towed Camera,17/07/2023 16:16,17/07/2023 16:28,149.552083,-38.181535,149.539974,-38.187744,332.1,509.7,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N28,N28.2,IN2023_V05_172,172,Deep Towed Camera,17/07/2023 17:50,17/07/2023 18:00,149.553402,-38.185175,149.570656,-38.190018,361.7,359,Cluster,design_legacy,"off mark (deliberate) - replaced: legacy video x3 (SS200001_244, SS200404_090, SS200001_236 (LING)",10,0,149.8301975,-37.97824249,night,"Opportunistic, not annotated at sea"
N31,N31.3,IN2023_V05_162,162,CTD,16/07/2023 19:35,16/07/2023 19:46,150.075226,-37.876327,,,299,,Station,,good,SS199602_067,2286,150.03084,-37.9375,day,
N31,N31.3,IN2023_V05_163,163,McKenna Trawl,16/07/2023 20:38,16/07/2023 21:13,150.049456,-37.911535,150.033606,-37.933141,257.7,232.5,Station,,good,SS199602_067,2286,150.03084,-37.9375,day,
N31,N31.2,IN2023_V05_164,164,McKenna Trawl,16/07/2023 23:32,17/07/2023 0:18,150.110072,-37.979738,150.096534,-38.006105,541.3,527.2,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.2,IN2023_V05_165,165,CTD,17/07/2023 2:19,17/07/2023 2:31,150.057284,-38.045166,,,432,,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.2,IN2023_V05_166,166,Multinet,17/07/2023 3:02,,150.058072,-38.045462,,,434,,Station,,good,14,3,150.0934511,-38.01021459,day,
N31,N31.1,IN2023_V05_167,167,McKenna Trawl,17/07/2023 5:00,17/07/2023 5:34,150.077262,-37.943992,150.070048,-37.972002,358.6,330.7,Station,,good,22,1,150.0620012,-37.9736029,day,
N32,N32.1,IN2023_V05_157,157,Deep Towed Camera,16/07/2023 9:44,16/07/2023 10:01,150.111261,-37.911163,150.101763,-37.916676,369.3,352.9,Cluster,design,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_159,159,Deep Towed Camera,,16/07/2023 11:25,150.083098,-37.931129,150.074269,-37.937191,318.4,305.3,Cluster,design,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_160,160,CTD,16/07/2023 12:51,,150.082459,-37.928585,,,314,,Cluster,,good,17,0,150.1039343,-37.91593115,night,
N32,N32.3,IN2023_V05_161,161,Multinet,16/07/2023 13:43,,150.080825,-37.921843,,,304,,Cluster,,good,17,0,150.1039343,-37.91593115,night,
N33,N33.3,IN2023_V05_141,141,McKenna Trawl,14/07/2023 20:52,14/07/2023 21:25,150.068486,-37.733183,150.061627,-37.750456,141.5,115.4,Station,,good,SS199405_190,2126,150.05667,-37.76333,day,
N33,N33.1,IN2023_V05_142,142,McKenna Trawl,14/07/2023 22:57,14/07/2023 23:21,150.106898,-37.763773,150.117997,-37.738514,165.9,158,Station,,good,SS199606_174,2478,150.11166,-37.75834,day,
N33,N33.2,IN2023_V05_143,143,CTD,15/07/2023 1:24,15/07/2023 1:34,150.138751,-37.674088,,,144,,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_144,144,Multinet,15/07/2023 2:36,,150.131647,-37.673652,,,143,,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_145,145,McKenna Trawl,15/07/2023 4:06,15/07/2023 4:34,150.128705,-37.700167,150.121037,-37.715339,161.4,155.6,Station,,good,SS199606_172,2476,150.10667,-37.715,day,
N33,N33.2,IN2023_V05_158,158,Deep Towed Camera,,16/07/2023 10:45,150.096687,-37.920414,150.088309,-37.926929,341,322.3,Station,design,good,SS199606_172,2476,150.10667,-37.715,day,
N34,N34.1,IN2023_V05_074,74,Deep Towed Camera,7/07/2023 10:27,7/07/2023 10:33,150.064373,-37.726877,150.055206,-37.722049,133,134.1,Station,design_legacy,good,SS200001_060,2510,150.0579545,-37.726012,night,
N34,N34.2,IN2023_V05_075,75,Deep Towed Camera,,7/07/2023 11:00,150.050167,-37.719979,150.039673,-37.718845,115.5,107.3,Station,design_legacy,off mark,SS199606_175,589,150.010825,-37.75,night,
N34,N34.3,IN2023_V05_076,76,Deep Towed Camera,,7/07/2023 11:34,150.036457,-37.719001,150.025781,-37.719568,116.8,114.8,Station,design_legacy,,SS200001_060,2510,150.0579545,-37.726012,night,
N35,N35.2,IN2023_V05_138,138,Deep Towed Camera,14/07/2023 17:56,14/07/2023 18:03,150.073243,-37.653616,150.069729,-37.661472,130.3,120.1,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.2,IN2023_V05_139,139,Deep Towed Camera,,14/07/2023 18:46,150.068063,-37.665771,150.066425,-37.675093,121.1,120.7,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.2,IN2023_V05_140,140,Deep Towed Camera,,14/07/2023 19:38,150.065271,-37.67979,150.063186,-37.688411,126.3,131.5,Station,GABO_reef,good,3,1,150.0500624,-37.68440489,day,"Opportunistic, not annotated at sea"
N35,N35.4,IN2023_V05_146,146,Deep Towed Camera,15/07/2023 9:30,15/07/2023 9:44,150.013454,-37.657304,150.010139,-37.667724,99.83,100.9,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.5,IN2023_V05_147,147,Deep Towed Camera,,15/07/2023 10:30,150.007949,-37.671565,150.001158,-37.679482,106.6,107.6,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.6,IN2023_V05_148,148,Deep Towed Camera,,15/07/2023 11:12,149.999262,-37.683616,149.993214,-37.69135,99.88,95.84,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N35,N35.1,IN2023_V05_149,149,CTD,15/07/2023 12:15,,149.988653,-37.686444,,,101,,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
N35,N35.1,IN2023_V05_150,150,Multinet,15/07/2023 13:23,,149.986806,-37.669107,,,99,,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
N35,N35.3,IN2023_V05_151,151,CTD,15/07/2023 19:37,15/07/2023 19:45,149.988001,-37.646111,,,103,,Station,,good,3,2,150.0138242,-37.64789991,day,
N35,N35.3,IN2023_V05_152,152,McKenna Trawl,15/07/2023 20:27,15/07/2023 21:02,149.987086,-37.655003,149.959965,-37.660985,107.8,111,Station,,good,3,2,150.0138242,-37.64789991,day,
N35,N35.1,IN2023_V05_153,153,McKenna Trawl,15/07/2023 23:31,15/07/2023 23:55,149.908929,-37.617319,149.877408,-37.616884,103.1,84.92,Station,,good,SS199405_088 & SS199602_075 & SS199606_084,2064,149.9025,-37.618335,day,
