SITE,SITE_ID,SURVEY_OPS,VYG_OPN_NO,GEAR,DEPLOYED_TIME,ON_BOTTOM_TIME,Gear_Long_S,Gear_Lat_S,Gear_Long_E,Gear_Lat_E,BottomDepth_start,BottomDepth_end,Planning_Design,Habitat Hyp NOTE,location Match to planned,PLAN_cluster_original,PLAN_point_original,PLAN_x,PLAN_y,PLAN_TOD,Annotation
N35,N35.2,IN2023_V05_154,154,CTD,16/07/2023 2:31,16/07/2023 2:31,150.021298,-37.65316,,,103,,Station,,good,3,1,150.0500624,-37.68440489,day,
N35,N35.2,IN2023_V05_155,155,Multinet,16/07/2023 3:02,,150.023099,-37.64819,,,104,,Station,,good,3,1,150.0500624,-37.68440489,day,
N35,N35.2,IN2023_V05_156,156,McKenna Trawl,16/07/2023 4:11,16/07/2023 4:37,149.962068,-37.670804,149.931404,-37.677565,109.6,89.35,Station,,good,3,1,150.0500624,-37.68440489,day,
N36,N36.1,IN2023_V05_121,121,Deep Towed Camera,13/07/2023 13:51,13/07/2023 13:55,150.26764,-37.430516,150.278108,-37.423898,140.9,163.4,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.2,IN2023_V05_122,122,Deep Towed Camera,,13/07/2023 14:27,150.281454,-37.422213,150.289807,-37.41515,165.5,175.7,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_123,123,Deep Towed Camera,,13/07/2023 14:58,150.293472,-37.413227,150.305518,-37.406246,176.4,252.6,Cluster,design,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_124,124,CTD,13/07/2023 16:15,13/07/2023 16:27,150.312291,-37.402353,,,288,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.3,IN2023_V05_125,125,Multinet,13/07/2023 17:18,,150.303242,-37.397267,,,193,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N36,N36.2,IN2023_V05_126,126,CTD,13/07/2023 20:02,13/07/2023 20:10,150.288356,-37.378881,,,154,,Cluster,,ok,11,0,150.2563988,-37.45160149,night,
N37,N37.2,IN2023_V05_127,127,McKenna Trawl,13/07/2023 20:47,13/07/2023 21:15,150.298387,-37.386951,150.290169,-37.410103,178.5,169.1,Station,,good,"SS199602_102, SS199305_124",2309,150.295825,-37.39833,day,
N37,N37.3,IN2023_V05_128,128,McKenna Trawl,14/07/2023 0:00,14/07/2023 0:27,150.280088,-37.418448,150.277739,-37.430903,165.2,142.5,Station,,good,"SS199405_111, SS199606_127",2076,150.281665,-37.415835,day,
N37,N37.1,IN2023_V05_129,129,CTD,14/07/2023 2:14,14/07/2023 2:20,150.27515,-37.425067,,,159,,Station,,ok,SS199606_127,2447,150.275005,-37.42583,day,
N37,N37.1,IN2023_V05_130,130,Multinet,14/07/2023 2:50,,150.273193,-37.419831,,,155,,Station,,ok,SS199606_127,2447,150.275005,-37.42583,day,
N37,N37.1,IN2023_V05_131,131,McKenna Trawl,14/07/2023 4:19,14/07/2023 4:41,150.260044,-37.460721,150.248805,-37.484899,174.9,159.9,Station,,ok,SS199606_127,2447,150.275005,-37.42583,day,
N38,N38.1,IN2023_V05_082,82,Deep Towed Camera,8/07/2023 9:50,8/07/2023 9:56,150.21583,-37.341233,150.213724,-37.33179,115.1,115.5,Station,design_legacy,good,SS199606_157,423,150.210845,-37.321665,night,
N38,N38.2,IN2023_V05_083,83,Deep Towed Camera,,8/07/2023 10:19,150.212935,-37.327752,150.210844,-37.319154,120.4,118.2,Station,design_legacy,good,SS199606_192,292,150.2125,-37.32917,night,
N38,N38.3,IN2023_V05_084,84,Deep Towed Camera,,8/07/2023 10:37,150.209808,-37.316015,150.207057,-37.307193,118.5,116.7,Station,design_legacy,,SS199606_157,423,150.210845,-37.321665,night,
N38,N38.3,IN2023_V05_085,85,Multinet,8/07/2023 11:41,,150.200836,-37.287263,,,114,,oppotunistic,,,,,,,,
N38,N38.4,IN2023_V05_132,132,Deep Towed Camera,14/07/2023 9:20,14/07/2023 9:27,150.233613,-37.363948,150.221242,-37.360131,122.5,123.8,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.5,IN2023_V05_133,133,Deep Towed Camera,,14/07/2023 10:07,150.214747,-37.357738,150.207967,-37.350164,118.8,114.4,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.6,IN2023_V05_134,134,Deep Towed Camera,,14/07/2023 10:41,150.206681,-37.344915,150.205659,-37.335698,111.5,118.4,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.7,IN2023_V05_135,135,Deep Towed Camera,14/07/2023 13:30,14/07/2023 13:37,150.158522,-37.462477,150.152547,-37.471111,121.5,115.5,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.8,IN2023_V05_136,136,Deep Towed Camera,,14/07/2023 14:20,150.149569,-37.473623,150.142119,-37.481826,117.6,109.7,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.9,IN2023_V05_137,137,Deep Towed Camera,,14/07/2023 15:04,150.139722,-37.484455,150.133002,-37.492395,112.2,120.9,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.10,IN2023_V05_183,183,Deep Towed Camera,20/07/2023 14:29,20/07/2023 14:35,150.253604,-37.317462,150.229009,-37.293513,123.1,65.87,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.11,IN2023_V05_184,184,Deep Towed Camera,20/07/2023 18:12,20/07/2023 18:20,150.171916,-37.44582,150.144287,-37.461631,120.3,70.2,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N38,N38.12,IN2023_V05_185,185,Deep Towed Camera,20/07/2023 23:12,20/07/2023 23:19,150.183182,-37.402316,150.167734,-37.419234,117.2,115.9,oppotunistic,GABO_reef,,,,,,,"Opportunistic, not annotated at sea"
N39,N39.3,IN2023_V05_077,77,CTD,7/07/2023 19:22,7/07/2023 19:29,150.050846,-37.343181,,,77,,Station,,off mark,SS199602_091,2301,150.02834,-37.3,day,
N39,N39.2,IN2023_V05_078,78,McKenna Trawl,7/07/2023 20:34,7/07/2023 20:58,150.0587,-37.323498,150.058666,-37.298957,86,73.97,Station,,good,SS199305_129,1943,150.05833,-37.33667,day,
N39,N39.1,IN2023_V05_079,79,McKenna Trawl,7/07/2023 23:20,7/07/2023 23:47,150.077422,-37.329757,150.097458,-37.309541,88.62,86.37,Station,,good,SS199602_186,2364,150.09166,-37.315,day,
N39,N39.3,IN2023_V05_080,80,Multinet,8/07/2023 3:47,,150.034529,-37.340297,,,71,,Station,,off mark,SS199602_091,2301,150.02834,-37.3,day,
N39,N39.3,IN2023_V05_081,81,McKenna Trawl,8/07/2023 5:18,8/07/2023 5:37,150.040732,-37.343128,150.063984,-37.338174,77.33,76.52,Station,,off mark,SS199602_091,2301,150.02834,-37.3,day,
N40,N40.1,IN2023_V05_118,118,Deep Towed Camera,13/07/2023 9:11,13/07/2023 9:22,150.326244,-37.33063,150.33749,-37.324659,213.1,293.4,Cluster,design,good,43,0,150.3390008,-37.32018599,night,
N40,N40.2,IN2023_V05_119,119,Deep Towed Camera,,13/07/2023 10:05,150.341317,-37.322751,150.350215,-37.316519,300.5,358.8,Cluster,design,good,43,0,150.3390008,-37.32018599,night,
N40,N40.3,IN2023_V05_120,120,Deep Towed Camera,,13/07/2023 10:47,150.354631,-37.313467,150.363613,-37.306893,397.2,508.9,Cluster,design,good,43,0,150.3390008,-37.32018599,night,
N40,N40.1,IN2023_V05_181,181,CTD,20/07/2023 10:44,20/07/2023 11:00,150.356247,-37.322063,,,432,,Cluster,,good,43,0,150.3390008,-37.32018599,night,
N40,N40.1,IN2023_V05_182,182,Multinet,20/07/2023 12:10,,150.373512,-37.337663,,,743,,Cluster,,good,43,0,150.3390008,-37.32018599,night,
N41,N41.3,IN2023_V05_086,86,CTD,8/07/2023 19:53,8/07/2023 20:03,150.332469,-37.151869,,,132,,Station,,good,6,3,150.3017984,-37.14353275,day,
N41,N41.3,IN2023_V05_087,87,McKenna Trawl,8/07/2023 20:45,8/07/2023 21:21,150.316416,-37.149188,150.285713,-37.137931,135.6,119.7,Station,,good,6,3,150.3017984,-37.14353275,day,
N41,N41.1,IN2023_V05_088,88,McKenna Trawl,8/07/2023 23:54,9/07/2023 0:18,150.249027,-37.127513,150.233711,-37.117682,124.7,120.5,Station,,good,6,1,150.2617645,-37.12966738,day,
N41,N41.2,IN2023_V05_089,89,CTD,9/07/2023 2:59,9/07/2023 3:14,150.360796,-37.186273,,,318,,Station,,good,SS199305_161,1958,150.345,-37.18583,day,
N41,N41.2,IN2023_V05_090,90,Multinet,9/07/2023 4:01,,150.355736,-37.183304,,,283,,Station,,good,SS199305_161,1958,150.345,-37.18583,day,
N42,N42.1,IN2023_V05_107,107,Deep Towed Camera,12/07/2023 11:13,12/07/2023 11:17,150.150992,-36.90616,150.161218,-36.90686,96.39,93.23,Cluster,design,good,16,0,150.1693821,-36.91153104,night,
N42,N42.2,IN2023_V05_108,108,Deep Towed Camera,,12/07/2023 11:48,150.16657,-36.906932,150.177578,-36.909999,107.2,86.82,Cluster,design,good,16,0,150.1693821,-36.91153104,night,
N42,N42.3,IN2023_V05_109,109,Deep Towed Camera,12/07/2023 12:38,12/07/2023 12:43,150.176417,-36.912684,150.164326,-36.909779,104.6,106.6,Cluster,design,good,16,0,150.1693821,-36.91153104,night,
N42,N42.1,IN2023_V05_110,110,CTD,12/07/2023 13:56,,150.15244,-36.906029,,,103,,Cluster,,good,16,0,150.1693821,-36.91153104,night,
N42,N42.1,IN2023_V05_111,111,Multinet,12/07/2023 14:51,,150.148304,-36.90661,,,101,,Cluster,,good,16,0,150.1693821,-36.91153104,night,
N43,N43.2,IN2023_V05_112,112,CTD,12/07/2023 19:43,12/07/2023 19:51,150.136486,-36.894364,,,97,,Station,,good,16,3,150.1295541,-36.91109504,day,
N43,N43.2,IN2023_V05_113,113,McKenna Trawl,12/07/2023 20:27,12/07/2023 20:47,150.127732,-36.917546,150.120353,-36.943036,101.1,64.16,Station,,good,16,3,150.1295541,-36.91109504,day,
N43,N43.1,IN2023_V05_114,114,McKenna Trawl,12/07/2023 22:23,12/07/2023 22:44,150.098437,-36.944279,150.106986,-36.917985,93.59,73.17,Station,,good,22,1,150.1009043,-36.93181507,day,
N43,N43.3,IN2023_V05_115,115,CTD,13/07/2023 0:08,13/07/2023 0:08,150.116109,-36.889419,,,89,,Station,,good,22,3,150.1160622,-36.88149801,day,
N43,N43.3,IN2023_V05_116,116,Multinet,13/07/2023 0:42,,150.113085,-36.886095,,,88,,Station,,good,22,3,150.1160622,-36.88149801,day,
N43,N43.3,IN2023_V05_117,117,McKenna Trawl,13/07/2023 2:10,13/07/2023 2:44,150.124004,-36.861745,150.11903,-36.886166,98.2,100.6,Station,,good,22,3,150.1160622,-36.88149801,day,
N44,N44.1,IN2023_V05_091,91,CTD,9/07/2023 9:18,,150.291022,-36.711691,,,172,,Cluster,,good,4,0,150.2850329,-36.7353371,night,
N44,N44.1,IN2023_V05_092,92,Multinet,9/07/2023 10:02,,150.289731,-36.706602,,,172,,Cluster,,good,4,0,150.2850329,-36.7353371,night,
N44,N44.1,IN2023_V05_093,93,Deep Towed Camera,9/07/2023 11:41,9/07/2023 11:48,150.297281,-36.728961,150.290267,-36.735398,170.7,157.7,Cluster,design,good,4,0,150.2850329,-36.7353371,night,
N44,N44.2,IN2023_V05_094,94,Deep Towed Camera,,9/07/2023 12:33,150.285473,-36.739222,150.279019,-36.74556,155.4,136,Cluster,design,good,4,0,150.2850329,-36.7353371,night,
N44,N44.3,IN2023_V05_095,95,Deep Towed Camera,,9/07/2023 13:23,150.275031,-36.749699,150.268377,-36.755752,146.8,138.2,Cluster,design,good,4,0,150.2850329,-36.7353371,night,
N45,N45.1,IN2023_V05_096,96,CTD,9/07/2023 19:33,9/07/2023 19:51,150.311724,-36.389608,,,181,,Station,,good,13,2,150.3136295,-36.39193556,day,
N45,N45.1,IN2023_V05_097,97,McKenna Trawl,9/07/2023 20:46,9/07/2023 21:14,150.31969,-36.365783,150.314419,-36.390272,218.8,213.6,Station,,good,13,2,150.3136295,-36.39193556,day,
N45,N45.3,IN2023_V05_101,101,CTD,11/07/2023 17:14,11/07/2023 17:33,150.346156,-36.382855,,,422,,Station,,good,15,3,150.3327066,-36.38142022,day,
N45,N45.3,IN2023_V05_102,102,Multinet,11/07/2023 18:22,,150.34454,-36.382465,,,480,,Station,,good,15,3,150.3327066,-36.38142022,day,
N45,N45.3,IN2023_V05_103,103,McKenna Trawl,11/07/2023 20:37,11/07/2023 21:09,150.332662,-36.381071,150.344989,-36.349539,353.1,393.3,Station,,good,15,3,150.3327066,-36.38142022,day,
N45,N45.2,IN2023_V05_104,104,McKenna Trawl,11/07/2023 23:10,12/07/2023 0:00,150.347998,-36.41348,150.351843,-36.43823,528.3,570.8,Station,,good,13,1,150.3523139,-36.38336695,day,
N45,N45.2,IN2023_V05_105,105,CTD,12/07/2023 2:35,12/07/2023 2:50,150.348617,-36.415194,,,492,,Station,,good,13,1,150.3523139,-36.38336695,day,
N45,N45.2,IN2023_V05_106,106,Multinet,12/07/2023 3:43,,150.344763,-36.411801,,,451,,Station,,good,13,1,150.3523139,-36.38336695,day,
N46,N46.1,IN2023_V05_098,98,Deep Towed Camera,11/07/2023 14:03,11/07/2023 14:15,150.312882,-36.343439,150.320626,-36.351383,144.9,205.3,Cluster,design,good,15,0,150.3173117,-36.34839953,night,
N46,N46.2,IN2023_V05_099,99,Deep Towed Camera,,11/07/2023 15:05,150.323565,-36.355057,150.330478,-36.362122,223.8,276.9,Cluster,design,good,15,0,150.3173117,-36.34839953,night,
N46,N46.3,IN2023_V05_100,100,Deep Towed Camera,,11/07/2023 15:51,150.333032,-36.365514,150.341396,-36.372342,292.8,354.3,Cluster,design,good,15,0,150.3173117,-36.34839953,night,
S1,S1.1,IN2023_V05_004,4,CTD,30/06/2023 7:54,,148.730188,-40.577648,,,61,,Station,,good,8,0,148.723,-40.7465,day,
S1,S1.1,IN2023_V05_219,219,Deep Towed Camera,25/07/2023 12:42,25/07/2023 12:49,148.703719,-40.706342,148.685746,-40.706685,64.96,67.78,Station,design,good,8,0,148.723,-40.7465,day,
S1,S1.2,IN2023_V05_220,220,Deep Towed Camera,25/07/2023 14:57,25/07/2023 15:04,148.690927,-40.736392,148.672676,-40.736321,65.12,67.15,Station,design,good,8,0,148.723,-40.7465,day,
S1,S1.3,IN2023_V05_221,221,Deep Towed Camera,25/07/2023 17:19,25/07/2023 17:28,148.702213,-40.792216,148.680485,-40.792905,87.17,76.22,Station,design,good,8,0,148.723,-40.7465,day,
S1,S1.3,IN2023_V05_222,222,CTD,25/07/2023 19:24,25/07/2023 19:30,148.674532,-40.792064,,,86,,Station,,good,8,0,148.723,-40.7465,day,
S2,S2.1,IN2023_V05_005,5,Deep Towed Camera,30/06/2023 9:15,30/06/2023 9:21,148.731894,-40.57625,148.725182,-40.581078,71.57,53.99,Station,design,good,1,0,148.7106,-40.6444,night,
S2,S2.2,IN2023_V05_006,6,Deep Towed Camera,30/06/2023 11:01,30/06/2023 11:36,148.725371,-40.608013,148.716458,-40.6121,72.32,58.42,Station,design,good,1,0,148.7106,-40.6444,night,
S2,S2.3,IN2023_V05_007,7,Deep Towed Camera,30/06/2023 13:21,30/06/2023 13:36,148.712893,-40.643677,148.702691,-40.647376,76.92,72.25,Station,design,good,1,0,148.7106,-40.6444,night,
S2,S2.1,IN2023_V05_008,8,Multinet,30/06/2023 16:11,,148.73749,-40.572015,,,60,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.2,IN2023_V05_208,208,CTD,24/07/2023 12:26,,148.767098,-40.583736,,,73,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.2,IN2023_V05_209,209,Multinet,24/07/2023 14:47,,148.787665,-40.601236,,,163,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.3,IN2023_V05_210,210,Deep Towed Camera,24/07/2023 16:08,24/07/2023 16:22,148.763907,-40.600122,148.754393,-40.597813,72.93,57.63,Station,AMP,good,1,0,148.7106,-40.6444,night,"Opportunistic, not annotated at sea"
S2,S2.2,IN2023_V05_211,211,Deep Towed Camera,24/07/2023 17:34,24/07/2023 17:39,148.777245,-40.588044,148.764898,-40.587404,94.67,63.2,Station,AMP,good,1,0,148.7106,-40.6444,night,"Opportunistic, not annotated at sea"
S2,S2.1,IN2023_V05_212,212,Deep Towed Camera,24/07/2023 19:03,24/07/2023 19:06,148.797693,-40.543286,148.776294,-40.542841,99.62,59.8,Station,AMP,good,1,0,148.7106,-40.6444,night,"Opportunistic, not annotated at sea"
S2,S2.1,IN2023_V05_213,213,CTD,24/07/2023 20:25,24/07/2023 20:30,148.768973,-40.544037,,,68,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.1,IN2023_V05_214,214,McKenna Trawl,24/07/2023 21:01,24/07/2023 21:21,148.734445,-40.579595,148.716861,-40.582645,66.28,57.94,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.2,IN2023_V05_215,215,McKenna Trawl,24/07/2023 23:01,24/07/2023 23:21,148.732722,-40.593473,148.71462,-40.594172,65.07,41.28,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.3,IN2023_V05_216,216,CTD,25/07/2023 2:22,25/07/2023 2:33,148.787176,-40.59459,,,124,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.3,IN2023_V05_217,217,Multinet,25/07/2023 3:01,,148.786555,-40.596262,,,132,,Station,,good,1,0,148.7106,-40.6444,night,
S2,S2.3,IN2023_V05_218,218,McKenna Trawl,25/07/2023 4:37,25/07/2023 5:03,148.825067,-40.505644,148.796756,-40.506166,153,86.56,Station,,good,1,0,148.7106,-40.6444,night,
S3,S3.3,IN2023_V05_201,201,CTD,23/07/2023 20:00,,148.503316,-41.11134,,,110,,Station,,good,4,0,148.4348,-41.0521,day,
S3,S3.3,IN2023_V05_202,202,McKenna Trawl,23/07/2023 21:19,23/07/2023 21:45,148.473097,-41.110295,148.438833,-41.10614,110.3,92.76,Station,,good,4,0,148.4348,-41.0521,day,
S3,S3.2,IN2023_V05_203,203,McKenna Trawl,23/07/2023 23:45,24/07/2023 0:04,148.474113,-41.060924,148.44119,-41.058068,98.92,83.91,Station,,good,4,0,148.4348,-41.0521,day,
S3,S3.1,IN2023_V05_204,204,CTD,24/07/2023 2:24,24/07/2023 2:30,148.537343,-41.054675,,,110,,Station,,good,4,0,148.4348,-41.0521,day,
S3,S3.1,IN2023_V05_205,205,Multinet,24/07/2023 3:01,,148.535512,-41.052761,,,110,,Station,,good,4,0,148.4348,-41.0521,day,
S3,S3.1,IN2023_V05_206,206,McKenna Trawl,24/07/2023 4:00,24/07/2023 4:21,148.506523,-41.051926,148.46809,-41.047195,111.3,72.02,Station,,good,4,0,148.4348,-41.0521,day,
S4,S4.1,IN2023_V05_207,207,Deep Towed Camera,24/07/2023 8:22,24/07/2023 8:30,148.631564,-41.076153,148.614048,-41.068596,120.6,76.45,Cluster,design,off mark,11,0,148.3674,-41.1117,night,
S5,S5.3,IN2023_V05_223,223,CTD,26/07/2023 4:31,,148.58227,-41.801062,,,179,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.3,IN2023_V05_224,224,Deep Towed Camera,26/07/2023 7:35,26/07/2023 7:40,148.576271,-41.823026,148.589294,-41.815243,109.9,205.6,Station,design,good,3,0,148.5295,-41.7989,day,
S5,S5.2,IN2023_V05_225,225,Deep Towed Camera,26/07/2023 9:12,26/07/2023 9:17,148.48906,-41.826845,148.498475,-41.819856,73.96,84.4,Station,design,good,3,0,148.5295,-41.7989,day,
S5,S5.2,IN2023_V05_226,226,Deep Towed Camera,,26/07/2023 9:57,148.505916,-41.814375,148.51454,-41.807525,86.48,101.3,Station,design,good,3,0,148.5295,-41.7989,day,
S5,S5.1,IN2023_V05_227,227,CTD,26/07/2023 12:21,,148.449017,-41.784727,,,80,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.1,IN2023_V05_228,228,Deep Towed Camera,26/07/2023 13:07,26/07/2023 13:13,148.483528,-41.783723,148.502002,-41.781357,76.02,94.69,Station,design,good,3,0,148.5295,-41.7989,day,
S5,S5.1,IN2023_V05_229,229,Multinet,26/07/2023 14:38,,148.511515,-41.786965,,,103,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.4,IN2023_V05_230,230,Deep Towed Camera,26/07/2023 17:53,26/07/2023 18:00,148.49482,-41.886821,148.480974,-41.887046,85.5,82.55,Cluster,design,off mark,3,0,148.5295,-41.7989,day,
S5,S5.4new,IN2023_V05_230,230,Multinet,26/07/2023 13:17,,148.486357,-41.783409,,,84,,Cluster,design,off mark,3,0,148.5295,-41.7989,day,
S5,S5.2,IN2023_V05_231,231,CTD,26/07/2023 19:34,26/07/2023 19:40,148.47394,-41.821689,,,79,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.2,IN2023_V05_232,232,McKenna Trawl,26/07/2023 20:48,26/07/2023 21:14,148.511281,-41.807222,148.541987,-41.794548,108.8,115.9,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.1,IN2023_V05_233,233,McKenna Trawl,26/07/2023 23:41,27/07/2023 0:03,148.456731,-41.788402,148.479066,-41.785612,84.51,68.86,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.3,IN2023_V05_234,234,CTD,27/07/2023 2:05,27/07/2023 2:17,148.5934,-41.772184,,,450,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.3,IN2023_V05_235,235,Multinet,27/07/2023 3:08,,148.595534,-41.758559,,,511,,Station,,good,3,0,148.5295,-41.7989,day,
S5,S5.3,IN2023_V05_236,236,McKenna Trawl,27/07/2023 5:30,27/07/2023 5:55,148.570453,-41.788791,148.567669,-41.764616,146.1,123.1,Station,,good,3,0,148.5295,-41.7989,day,
S6,S6.2,IN2023_V05_237,237,Deep Towed Camera,27/07/2023 11:03,27/07/2023 11:07,148.519209,-42.138569,148.52736,-42.126404,106.1,112.1,Station,design,good,14,0,148.4777,-42.1767,night,
S6,S6.2,IN2023_V05_238,238,CTD,27/07/2023 12:02,,148.53058,-42.121367,,,116,,Station,,good,14,0,148.4777,-42.1767,night,
S6,S6.1,IN2023_V05_239,239,Deep Towed Camera,27/07/2023 14:04,27/07/2023 14:12,148.499198,-42.089642,148.506697,-42.078026,90.35,102.3,Station,design,good,14,0,148.4777,-42.1767,night,
S6,S6.3,IN2023_V05_240,240,Deep Towed Camera,27/07/2023 15:57,27/07/2023 16:00,148.564824,-42.079539,148.564316,-42.067304,117.3,70.87,Station,BACI-b,good,14,0,148.4777,-42.1767,night,"Opportunistic, not annotated at sea"
S6,S6.5,IN2023_V05_241,241,Multinet,27/07/2023 18:15,,148.585993,-42.167453,,,482,,oppotunistic,,,,,,,,
S6,S6.5,IN2023_V05_242,242,CTD,27/07/2023 19:29,27/07/2023 19:41,148.58485,-42.156039,,,392,,oppotunistic,,,,,,,,
S6,S6.3,IN2023_V05_243,243,McKenna Trawl,27/07/2023 20:51,27/07/2023 21:15,148.565009,-42.087384,148.564674,-42.062154,128.7,128.2,Station,,good,14,0,148.4777,-42.1767,night,
S6,S6.1,IN2023_V05_244,244,McKenna Trawl,27/07/2023 23:41,28/07/2023 0:05,148.526193,-42.11222,148.527836,-42.086989,122,101.7,Station,,good,14,0,148.4777,-42.1767,night,
S6,S6.5,IN2023_V05_245,245,CTD,28/07/2023 2:34,28/07/2023 2:49,148.616996,-42.106732,,,432,,oppotunistic,,,,,,,,
S6,S6.5,IN2023_V05_246,246,Multinet,28/07/2023 3:22,,148.612017,-42.10857,,,380,,oppotunistic,,,,,,,,
S6,S6.5,IN2023_V05_247,247,McKenna Trawl,28/07/2023 5:10,28/07/2023 5:56,148.615655,-42.094049,148.620921,-42.069075,399.2,396.2,oppotunistic,,,,,,,,
S6,S6.1,IN2023_V05_248,248,Deep Towed Camera,28/07/2023 8:26,28/07/2023 8:39,148.56252,-42.080954,148.564789,-42.063214,112.9,116.4,Station,BACI-a,good,14,0,148.4777,-42.1767,night,"Opportunistic, not annotated at sea"
S6,S6.7,IN2023_V05_252,252,CTD,28/07/2023 15:46,28/07/2023 15:59,148.464611,-41.841864,,,82,,oppotunistic,,,,,,,,
TRAWL,TRAWL,IN2023_V05_255,255,Deep Towed Camera,28/07/2023 21:03,28/07/2023 21:07,148.508495,-41.810389,148.517,-41.803986,97.65,87.89,oppotunistic,BACI-a,,,,,,,"Opportunistic, not annotated at sea"
CATH'S,CATH'S,IN2023_V05_251,251,Multinet,28/07/2023 14:52,,148.443298,-41.848426,,,75,,oppotunistic,,,,,,,,
CATH'S,CATH'S,IN2023_V05_253,253,Deep Towed Camera,28/07/2023 18:21,28/07/2023 18:29,148.469174,-41.847752,148.466803,-41.838245,82.06,52.32,oppotunistic,AMP_reef,,,,,,,"Opportunistic, not annotated at sea"
CATH'S,CATH'S,IN2023_V05_254,254,Deep Towed Camera,28/07/2023 19:31,28/07/2023 19:46,148.468014,-41.843857,148.473542,-41.835619,77.28,77.7,oppotunistic,AMP_reef,,,,,,,"Opportunistic, not annotated at sea"
JOE'S,JOE'S,IN2023_V05_249,249,Deep Towed Camera,28/07/2023 11:18,28/07/2023 11:36,148.451886,-41.900991,148.446553,-41.899625,61.04,76.58,oppotunistic,AMP_reef,,,,,,,"Opportunistic, not annotated at sea"
JOE'S,JOE'S,IN2023_V05_250,250,Deep Towed Camera,28/07/2023 12:36,28/07/2023 12:52,148.451884,-41.899981,148.447594,-41.899037,61.73,77.37,oppotunistic,AMP_reef,,,,,,,"Opportunistic, not annotated at sea"
